8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
REP,PR-5000-UP-60-WHT-1,"PR-5000 Upright - 60"" Single - White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-80-MAT,"PR-5000 Uprights Pair - 80"" - Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-80-RAW,"PR-5000 Uprights Pair - 80"" - Raw Clear Coat",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-80-RED,"PR-5000 Uprights Pair - 80"" - Red",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-80-SS,"PR-5000 Upright Pair - 80"" - Stainless Steel",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-80-WHT,"PR-5000 Uprights Pair - 80"" - White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-90-MAT,"PR-5000 Uprights Pair - 93"" - Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-90-MBLK,"PR-5000 Uprights Pair - 93"" - Metallic Black",,,Non-stocked,0,0,3,0,0,0,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,3,0,PO0033292,0.00,,,
REP,PR-5000-UP-90-RAW,"PR-5000 Uprights Pair - 93"" - Raw Clear Coat",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-90-RED,"PR-5000 Uprights Pair - 93"" - Red",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5000-UP-90-SS,"PR-5000 Upright Pair - 93"" - Stainless Steel",,,Non-stocked,0,0,8,0,0,9,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,5,5,PO0033380,0.00,,,
REP,PR-5000-UP-90-WHT,"PR-5000 Uprights Pair - 93"" - White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-16-MAT,"PR-5000 Crossmember Pair - 16"" - Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-16-MBLK,"PR-5000 Crossmember Pair - 16"" - Metallic Black",,,Non-stocked,0,0,30,0,0,0,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,30,0,PO0033380,0.00,,,
REP,PR-5002-CR-16-RAW,"PR-5000 Crossmember Pair - 16"" - Raw Clear Coat",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-16-RED,"PR-5000 Crossmember Pair - 16"" - Red",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-16-SS,"PR-5000 Crossmember Pair - 16"" - Stainless Steel",,,Non-stocked,0,0,7,0,0,4,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,5,4,PO0033380,0.00,,,
REP,PR-5002-CR-16-WHT,"PR-5000 Crossmember Pair - 16"" - White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-30-MAT,"PR-5000 Crossmember Pair - 30"" - Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-30-MBLK,"PR-5000 Crossmember Pair - 30"" - Metallic Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-30-RAW,"PR-5000 Crossmember Pair - 30"" - Raw Clear Coat",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-30-RED,"PR-5000 Crossmember Pair - 30"" - Red",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-30-SS,"PR-5000 Crossmember Pair - 30"" - Stainless Steel",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-30-WHT,"PR-5000 Crossmember Pair - 30"" - White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-41-MAT,"PR-5000 Crossmember Pair - 41"" - Black",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-41-RAW,"PR-5000 Crossmember Pair - 41"" - Raw Clear Coat",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-41-RED,"PR-5000 Crossmember Pair - 41"" - Red",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-41-SS,"PR-5000 Crossmember Pair - 41"" - Stainless Steel",,,Non-stocked,0,0,7,0,0,4,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,5,4,PO0033380,0.00,,,
REP,PR-5002-CR-41-WHT,"PR-5000 Crossmember Pair - 41"" - White",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-72-MBLK,"PR-5000 72IN CONNECTOR CROSSMEMBER, METALLIC BLK",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-82-MBLK,"PR-5000 82IN CONNECTOR CROSSMEMBER, METALLIC BLK",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-BRKT,PR-5000 CONNECTOR CROSSMEMBER BRACKET,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-L-1616-MAT,"PR-5002 Storage Crossmember - 16""x16"" - Matte Black - Pair",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-L-1616-MBLK,"PR-5002 Storage Crossmember - 16""x16"" - Metallic Black - Pair",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-L-1616-RED,"PR-5002 Storage Crossmember - 16""x16"" - Red - Pair",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-CR-L-1616-WHT,"PR-5002 Storage Crossmember - 16""x16"" - White - Pair",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PR-5002-LPC-02,PR-5000 Logo Plate Crossmember - Stamped,,,Non-stocked,0,0,20,0,0,0,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,20,0,PO0033380,0.00,,,
REP,PR-5002-RBS-WM,PR-5000 Wall Mount Rear Base Stabalizer,,,Non-stocked,0,0,0,0,0,1,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-1400,REP Fitness Rear Weight Storage PR-1100,STRENGTH,Storage - Bar & Plate Storage,Obsolete,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-1700,REP Fitness Plate-Loaded Lat Pulldown & Low Row PR-1100,STRENGTH,Rigs & Racks - Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-2010,Altitude Series -Standard J-Cups - Pair,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-2012,Altitude Series - Flat Sandwich J-Cups - Pair,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-2120,Altitude Series - Strap Safeties - Pair,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-2210,Altitude Series - Drop-In Dip Attachment,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-2300,Altitude Series - Leg Roller Attachment - Single,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-4000,REP Fitness Standard J-Cups PR-4000,STRENGTH,Rigs & Racks - Attachments,Obsolete,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-4100-24,"REP Fitness 24"" Pin-Pipe Safeties PR-4000",STRENGTH,Rigs & Racks - Attachments,Obsolete,5,5,0,0,5,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-4150,REP Fitness Front Foot Extension PR-4000,STRENGTH,Rigs & Racks - Attachments,Obsolete,8,8,0,0,8,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5004,PR-5000 Standard J-cups - 3.0 - Pair,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5005,PR-5000 Lowered J-Cups - 3.0 - Pair,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5102-48,PR-5000 Pin/Pipe Safeties - 41 - Pair V2,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5123-41,"PR-5000 Strap Safeties 3.0 - 41""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5160,PR-5000 Mini Feet,STRENGTH,Rigs & Racks - Attachments,C,0,0,20,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,20,1,PO0033156,0.00,,,
REP,PRA-5170,PR-5000 Storage Feet,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5204,REP Fitness Dip Attachment - 5000 Series V3,STRENGTH,Power Rack Attachments,C,0,0,21,0,0,4,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,20,3,PO0033380,0.00,,,
REP,PRA-5210,5000 Series Drop-in Dip Attachment,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5425,PR-5000 Utility Horn V2,,,Non-stocked,0,0,1,0,0,3,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,PRA-5432,PR-5000 Barbell Tube Stand V2,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5502,PR-5000 Pull-Up Bar Connector V2,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5512,PR-5000 Globe Pullup Bar - Front Mount V2,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5522,PR-5000 Globe Pullup Bar - Side Mount V2,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5530,"PR-5000, 1.25"" PULL-UP BAR, FRONT MOUNT",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5540,"PR-5000, MULTI-GRIP PULL UP BAR, FRONT MOUNT",,,Non-stocked,0,0,0,0,0,2,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5570,"PR-5000, 1.25"" PULL-UP BAR, FRONT MOUNT, 82"" LENGTH",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5580,PR-5000 RACK-MOUNT SHACKLE,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5602,PR-5000 Band Pegs (Set of 4) V2,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5603,PR-5000 Band Pegs V3 (Set of 2),,,Non-stocked,0,0,0,0,0,1,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5702-1,PR-4000/5000 93in Lat Attachment and Low Row - Box 1,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5702-2,PR-5000 Lat Attachment and Low Row V2 - Box 2,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5702-80-1,PR-4000/5000 80in Lat Attachment and Low Row V2 - Rails With Cables Box 1,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5702-93,REP Fitness Plate-Loaded Lat Pulldown & Low Row PR-5000 93'',STRENGTH,Rigs & Racks - Attachments,C,7,8,0,1,7,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5702-S-2,"PRA-5702-S, Lat Attachment Box 2",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5702-S-3,"PRA-4700/ 5702-S, Lat Attachment, Box 3",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5702-S-4,"PRA-5702-S, Lat Attachment, Box 4",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5713,REP Fitness Single Leg Roller - 5000 Series V3,STRENGTH,Power Rack Attachments,C,0,0,21,0,0,6,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,20,5,PO0033380,0.00,,,
REP,PRA-5770-BB-02,"Smith Machine Barbell, Black Diamond Knurl",STRENGTH,Rigs & Racks - Attachments,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-5770-FE-BRKT,"Smith Attachment, PR-5000, Front Extension Bracket",STRENGTH,Rigs & Racks - Attachments,C,20,20,10,0,20,0,0, $ -   ,0, $ -   ,,0.0,15-Oct-2026,10,0,PO0033287,0.00,,,
REP,PRA-5900,PR-5000 Belt Squat,OTHER,,Non-stocked,0,0,1,0,0,3,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,PRA-FT-2000-CABLE-83,"Altitude Series - Functional Trainer Attachment - Cables - 83""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-2000-GR-83,"Altitude Series - Functional Trainer Attachment - Guide Rods - 83""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-2000-SHROUD-83,"Altitude Series - Functional Trainer Attachment - Shrouds - 83""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-40-STACK,Selectorized 4 Plate Package,,,Non-stocked,0,0,0,0,0,2,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-4000-DUAL-6-8024-S,"REP Fitness Ares for PR-4000 (80"")",STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-4000-DUAL-6-9324-S,"REP Fitness Ares for PR-4000 (93"")",STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-5000-DUAL-6-8030-S,"REP Fitness Ares for PR-5000 (80"")",STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-5000-DUAL-6-9330-S,"REP Fitness Ares for PR-5000 (93"")",STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-5002-DUAL-6-8041-S,"Ares 2.0 - 5000 Series 6 Post - 80"" H x 16'' + 41"" D",STRENGTH,All-In-One Trainers - All-In-One Trainers,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-5002-DUAL-6-9316-S,"Ares 2.0 - 5000 Series 6 Post - 93"" H x 16'' + 16"" D",STRENGTH,All-In-One Trainers - All-In-One Trainers,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-ARES-02-UPGRADE(DNU),REP Fitness Ares 2.0 - Weight Stack Upgrade,STRENGTH,All-In-One Trainers - All-In-One Attachments,C,0,0,30,0,0,0,0, $ -   ,0, $ -   ,,0.0,15-Sep-2026,30,0,PO0033156,0.00,,,
REP,PRA-FT-ARES-UPGRADE,REP Fitness Ares Weight Stack Upgrade,STRENGTH,All-In-One Trainers - All-In-One Attachments,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-CONNECTOR,2 to 1 Bar Connector,STRENGTH,Power Rack Attachments,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,31-Oct-2026,1,1,PO0033380,0.00,,,
REP,PRA-FT-DUAL-02-S-UPGRADE-STICKER,Ares 2.0 Upgrade Instructons and Stickers,,,Non-stocked,0,0,0,0,0,3,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUAL-4002-S,PRA-FT-DUAL-4002-S-80(Ares 2.0 Base and Weight Stacks - 4000 Series),,,C,11,12,0,1,11,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUAL-5002-S-PB-80,"Peg Board Storage, Set of 6, 5000 Series Ares 2.0 Wall-mounted - 80""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUAL-5002-S-PB-93,"Peg Board Storage - Set of 6 - 5000 Series Ares 2.0 Wall-mounted - 93""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUAL-5002-S-WM,Wall-mount Kit for 5000 Series Ares 2.0,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUAL-5002-S-WS-CR,Weight Storage Crossmembers - Set of 4 - 5000 Series Ares 2.0 Wall-mounted,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUAL-5002-S-WS-UP-80,"Dual Weight Storage Uprights - 5000 Series Ares 2.0 Wall-mounted - 80""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUAL-5002-S-WS-UP-93,"Dual Weight Storage Uprights - 5000 Series Ares 2.0 Wall-mounted - 93""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUALCABLE-02-4-80-S,"PRA-FT-DUALCABLE-02-4-80-S(Ares 2.0 Cable Package - 80"" - 16"" - 4)",,,C,148.5,9,0,0,9,0,0, $ -   ,2, $ -   ,,0.1,,,,,0.00,,,
REP,PRA-FT-DUALCABLE-02-6-8016-S,"PRA-FT-DUALCABLE-02-6-8024-S(Ares 2.0 Cable Package - 80"" - 16"" - 6)",,,C,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUALCABLE-02-6-8024-S,"PRA-FT-DUALCABLE-02-6-8024-S(Ares 2.0 Cable Package - 80"" - 24"" - 6)",,,C,6,7,0,1,6,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUALCABLE-02-6-8041-S,"PRA-FT-DUALCABLE-02-6-8041-S(Ares 2.0 Cable Package - 80"" - 41"" - 6)",,,C,8,9,0,1,8,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-DUALCABLE-02-6-9324-S,"PRA-FT-DUALCABLE-02-6-9324-S(Ares 2.0 Cable Package - 93"" - 24"" - 6)",,,C,12,12,0,0,12,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-LEFT-5000-BASE-1,Side Mount Functional Trainer 5000 Left Base - Box 1,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,1,1,PO0033292,0.00,,,
REP,PRA-FT-LEFT-5000-BASE-2,Side Mount Functional Trainer 5000 Left Base - Box 2,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,1,1,PO0033292,0.00,,,
REP,PRA-FT-RIGHT-5000-BASE-1,Side Mount Functional Trainer 5000 Right Base - Box 1,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,1,1,PO0033292,0.00,,,
REP,PRA-FT-RIGHT-5000-BASE-2,Side Mount Functional Trainer 5000 Right Base - Box 2,,,Non-stocked,0,0,1,0,0,1,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,1,1,PO0033292,0.00,,,
REP,PRA-FT-SIDE-GR-80,"Side Mount Guide Rod Package - 80""",,,Non-stocked,0,0,2,0,0,2,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,2,2,PO0033292,0.00,,,
REP,PRA-FT-SIDE-GR-93,"Side Mount Guide Rod Package - 93""",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-SIDE-HEADPLATE-S,Side Mount Functional Trainer Headplate Package,,,Non-stocked,0,0,2,0,0,2,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,2,2,PO0033292,0.00,,,
REP,PRA-FT-SIDE-S-UPGRADE-STICKER,Side Mount Functional Trainer Attachment Stack Upgrade Sticker Set,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-SIDECABLE-4-80,"Side Mount Functional Trainer Cable Package - 80"" - 16"" - 4",,,Non-stocked,0,0,2,0,0,2,0, $ -   ,0, $ -   ,,0.0,30-Nov-2026,2,2,PO0033292,0.00,,,
REP,PRA-FT-SIDECABLE-4-93,"Side Mount Functional Trainer Cable Package - 93"" - 16"" - 4",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-SIDECABLE-6-8016,"Side Mount Functional Trainer Cable Package - 80"" - 16"" - 6",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-SIDECABLE-6-8030,"Side Mount Functional Trainer Cable Package - 80"" - 30"" - 6",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-SIDECABLE-6-8041,"Side Mount Functional Trainer Cable Package - 80"" - 41"" - 6",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-SIDECABLE-6-9316,"Side Mount Functional Trainer Cable Package - 93"" - 16"" - 6",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-SIDECABLE-6-9330,"Side Mount Functional Trainer Cable Package - 93"" - 30"" - 6",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-FT-SIDECABLE-6-9341,"Side Mount Functional Trainer Cable Package - 93"" - 41"" - 6",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-LAT-S-UPGRADE-STICKER,Selectorized Lat Low Row Stack Upgrade Sticker Set,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PRA-SM-2000-2,"Altitude Series - Smith Machine Attachment - 83"" - Frame",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PS-3000,Power Sled (Push-Pull Sled),,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PUB-100,Pull-up Band - Yellow,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PUB-200,Pull-up Band - Red,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PUB-300,Pull-up Band - Black,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PUB-400,Pull-up Band - Purple,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PUB-500,Pull-up Band - Green,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PUB-600,Pull-up Band - Blue,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,PUB-700,Pull-up Band - Orange,,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,RA-5500,"5K 72"" Single Bar Connector",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,RA-5520,"5K 72"" Double Bar Connector",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,RA-5530,"5K 41"" Double Bar Connector",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,RA-5540,"5k 41""Â Tri pullup Bar Connector",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
REP,RA-5550,"5k 48"" Wall Mount Connector",,,Non-stocked,0,0,0,0,0,0,0, $ -   ,0, $ -   ,,0.0,,,,,0.00,,,
